iter	Passed	Remaining
0	240	480161
1	281	281412
2	346	230530
3	413	206275
4	482	192362
5	506	168334
6	531	151189
7	557	138885
8	579	128157
9	597	118991
10	619	112008
11	638	105811
12	658	100581113	675	95864114	696	92138115	718	8915416	726	84754
17	752	82821
18	772	80513
19	795	78761
220	832	78448221	856	76982222	882	75842223	903	74377224	923	72920225	962	73061
26	996	72816
27	1024	72172
28	1050	71412929	1081	70993
30	1107	70347
31	1141	70213
32	1163	69323333	1219	70507
34	1250	70193535	1272	69433636	1326	70353737	1387	71661
38	1410	70922
39	1430	70104040	1458	69694141	1500	69954242	1535	69884343	1570	69804444	1597	69424545	1630	69264646	1657	68884747	1706	69413
48	1742	69380
49	1779	69387
50	1810	69177
51	1846	69171
52	1875	68886
53	1903	68595
54	1933	68384
55	1958	67974
56	1975	67326
57	1995	66801
58	2010	66130
59	2025	65495
60	2040	64852
61	2052	64147
62	2066	63551
63	2070	62639
64	2087	62147
65	2108	61771
66	2120	61182
67	2134	60638
68	2147	60110
69	2160	59581
70	2176	59141
71	2194	58770
72	2210	58362
73	2223	57876
74	2238	57454
75	2256	57135
76	2271	56733
77	2286	56349
78	2303	56015
79	2317	55623
80	2332	55250
81	2348	54922
82	2364	54611
83	2380	54294
84	2395	53979
85	2412	53684
86	2427	53366
87	2439	52992
88	2453	52674
89	2467	52372
90	2483	52094
91	2498	51813
92	2513	51543
93	2529	51298
94	2546	51058
95	2562	50831
96	2580	50621
97	2596	50396
98	2610	50121
99	2624	49861
100	2638	49602
101	2655	49422
102	2673	49237
103	2686	48977
104	2701	48756
105	2720	48601
106	2738	48440
107	2753	48244
108	2769	48048
109	2784	47839
110	2798	47625
111	2815	47465
112	2831	47289
113	2845	47077
114	2860	46888
115	2875	46704
116	2891	46530
117	2908	46395
118	2922	46187
119	2936	46011
120	2952	45853
121	2969	45708
122	2988	45600
123	3005	45464
124	3020	45308
125	3037	45170
126	3053	45031
127	3072	44933
128	3090	44826
129	3109	44726
130	3124	44576
131	3142	44464
132	3161	44374
133	3177	44242
134	3194	44135
135	3209	43994
136	3222	43827
137	3239	43713
138	3255	43585
139	3270	43456
140	3288	43356
141	3303	43218
142	3317	43083
143	3335	42986
144	3351	42880
145	3369	42789
146	3385	42672
147	3400	42546
148	3416	42447
149	3436	42387
150	3456	42328
151	3475	42251
152	3493	42172
153	3513	42119
154	3532	42053
155	3553	42005
156	3574	41959
157	3596	41929
158	3614	41846
159	3634	41798
160	3657	41771
161	3674	41687
162	3692	41614
163	3711	41553
164	3730	41488
165	3747	41403
166	3769	41371
167	3787	41302
168	3809	41275
169	3826	41195
170	3845	41127
171	3864	41075
172	3888	41064
173	3905	40988
174	3924	40924
175	3944	40883
176	3964	40827
177	3982	40765
178	3999	40684
179	4016	40615
180	4034	40548
181	4051	40471
182	4070	40419
183	4089	40358
184	4109	40313
185	4130	40283
186	4151	40248
187	4172	40217
188	4193	40179
189	4214	40146
190	4232	40083
191	4255	40071
192	4277	40047
193	4295	39988
194	4313	39925
195	4332	39880
196	4349	39811
197	4367	39751
198	4386	39702
199	4407	39663
200	4425	39610
201	4445	39570
202	4464	39524
203	4480	39447
204	4499	39395
205	4519	39357
206	4538	39315
207	4559	39282
208	4577	39223
209	4596	39176
210	4613	39116
211	4631	39062
212	4651	39026
213	4667	38957
214	4692	38955
215	4710	38908
216	4731	38880
217	4749	38826
218	4766	38764
219	4786	38730
220	4804	38676
221	4827	38666
222	4848	38635
223	4864	38571
224	4880	38502
225	4898	38451
226	4918	38417
227	4936	38366
228	4953	38309
229	4971	38261
230	4990	38219
231	5008	38168
232	5026	38119
233	5043	38065
234	5059	38003
235	5080	37977
236	5100	37941
237	5124	37935
238	5141	37881
239	5156	37811
240	5176	37785
241	5195	37741
242	5215	37708
243	5233	37662
244	5249	37605
245	5268	37567
246	5286	37518
247	5303	37466
248	5321	37424
249	5340	37386
250	5359	37348
251	5380	37323
252	5400	37290
253	5416	37235
254	5433	37184
255	5456	37173
256	5472	37118
257	5491	37079
258	5508	37029
259	5527	36994
260	5546	36954
261	5565	36919
262	5582	36871
263	5597	36809
264	5617	36778
265	5636	36744
266	5656	36713
267	5673	36665
268	5688	36606
269	5707	36568
270	5724	36523
271	5743	36488
272	5761	36444
273	5779	36407
274	5799	36376
275	5815	36326
276	5836	36305
277	5855	36270
278	5874	36238
279	5892	36196
280	5912	36168
281	5932	36139
282	5949	36097
283	5968	36065
284	5988	36034
285	6009	36017
286	6026	35969
287	6045	35937
288	6065	35910
289	6081	35859
290	6100	35827
291	6116	35777
292	6135	35746
293	6153	35707
294	6170	35661
295	6188	35624
296	6205	35582
297	6223	35547
298	6242	35512
299	6262	35485
300	6280	35450
301	6298	35416
302	6318	35386
303	6340	35374
304	6358	35334
305	6375	35297
306	6393	35258
307	6410	35214
308	6432	35202
309	6452	35178
310	6472	35153
311	6492	35126
312	6510	35090
313	6528	35053
314	6547	35025
315	6564	34981
316	6582	34946
317	6601	34916
318	6620	34886
319	6636	34839
320	6654	34807
321	6676	34790
322	6694	34755
323	6714	34731
324	6732	34700
325	6751	34670
326	6767	34625
327	6786	34592
328	6805	34563
329	6824	34535
330	6843	34507
331	6861	34475
332	6884	34462
333	6899	34416
334	6917	34379
335	6938	34363
336	6958	34338
337	6978	34313
338	6993	34267
339	7011	34233
340	7028	34193
341	7049	34175
342	7068	34146
343	7085	34108
344	7103	34074
345	7120	34037
346	7138	34003
347	7158	33981
348	7178	33959
349	7200	33946
350	7219	33915
351	7240	33897
352	7260	33876
353	7279	33847
354	7296	33810
355	7315	33782
356	7334	33753
357	7352	33720
358	7369	33687
359	7387	33654
360	7403	33615
361	7424	33593
362	7442	33560
363	7461	33533
364	7479	33505
365	7499	33479
366	7518	33453
367	7537	33426
368	7555	33395
369	7577	33381
370	7594	33344
371	7611	33312
372	7627	33269
373	7644	33233
374	7660	33197
375	7682	33182
376	7717	33225
377	7744	33232
378	7770	33233
379	7787	33199
380	7808	33180
381	7836	33191
382	7857	33173
383	7877	33152
384	7895	33121
385	7917	33104
386	7940	33095
387	7961	33077
388	7984	33065
389	8003	33041
390	8024	33021
391	8045	33001
392	8062	32969
393	8080	32935
394	8100	32914
395	8122	32898
396	8138	32861
397	8156	32829
398	8177	32811
399	8196	32784
400	8217	32768
401	8233	32730
402	8252	32701
403	8271	32677
404	8289	32647
405	8307	32617
406	8327	32592
407	8344	32559
408	8363	32532
409	8382	32508
410	8399	32475
411	8417	32443
412	8436	32418
413	8454	32387
414	8471	32355
415	8487	32318
416	8506	32291
417	8523	32259
418	8547	32253
419	8567	32230
420	8584	32196
421	8602	32166
422	8623	32151
423	8641	32122
424	8657	32083
425	8675	32055
426	8699	32047
427	8717	32018
428	8738	31998
429	8757	31973
430	8776	31949
431	8794	31920
432	8816	31905
433	8833	31875
434	8853	31850
435	8875	31839
436	8892	31805
437	8911	31779
438	8930	31756
439	8952	31740
440	8967	31702
441	8986	31674
442	9003	31645
443	9025	31630
444	9045	31608
445	9065	31587
446	9082	31555
447	9103	31538
448	9124	31520
449	9142	31491
450	9163	31471
451	9184	31455
452	9204	31432
453	9226	31419
454	9245	31392
455	9262	31363
456	9284	31347
457	9303	31322
458	9320	31291
459	9336	31255
460	9355	31232
461	9374	31208
462	9394	31185
463	9411	31155
464	9430	31130
465	9449	31105
466	9466	31075
467	9483	31045
468	9503	31022
469	9521	30996
470	9540	30971
471	9556	30936
472	9573	30905
473	9590	30876
474	9608	30849
475	9626	30820
476	9648	30807
477	9670	30793
478	9690	30771
479	9710	30749
480	9729	30725
481	9746	30694
482	9761	30658
483	9779	30631
484	9797	30603
485	9814	30574
486	9834	30553
487	9853	30530
488	9870	30501
489	9890	30480
490	9907	30448
491	9926	30425
492	9944	30399
493	9963	30373
494	9987	30364
495	10003	30332
496	10019	30300
497	10038	30275
498	10054	30244
499	10070	30212
500	10091	30194
501	10111	30172
502	10129	30148
503	10150	30129
504	10167	30099
505	10187	30078
506	10206	30055
507	10225	30032
508	10243	30006
509	10262	29981
510	10284	29968
511	10301	29939
512	10320	29916
513	10338	29889
514	10356	29863
515	10375	29839
516	10393	29813
517	10410	29783
518	10426	29752
519	10443	29724
520	10462	29700
521	10480	29674
522	10498	29648
523	10518	29627
524	10538	29606
525	10556	29582
526	10573	29554
527	10594	29536
528	10613	29514
529	10633	29491
530	10652	29468
531	10674	29454
532	10694	29434
533	10712	29409
534	10731	29386
535	10746	29353
536	10768	29336
537	10785	29309
538	10802	29280
539	10820	29255
540	10840	29234
541	10859	29212
542	10879	29191
543	10897	29165
544	10913	29135
545	10932	29112
546	10951	29091
547	10968	29063
548	10988	29042
549	11010	29027
550	11026	28997
551	11048	28982
552	11068	28962
553	11087	28939
554	11105	28914
555	11124	28892
556	11140	28862
557	11160	28841
558	11179	28818
559	11197	28792
560	11214	28767
561	11231	28738
562	11253	28724
563	11273	28702
564	11292	28680
565	11313	28662
566	11330	28635
567	11349	28612
568	11368	28591
569	11385	28563
570	11399	28528
571	11420	28511
572	11438	28486
573	11455	28459
574	11472	28432
575	11490	28407
576	11507	28380
577	11527	28359
578	11543	28330
579	11561	28306
580	11578	28278
581	11595	28250
582	11612	28223
583	11630	28201
584	11651	28182
585	11668	28155
586	11689	28139
587	11708	28117
588	11725	28089
589	11740	28058
590	11759	28034
591	11778	28012
592	11794	27985
593	11810	27955
594	11830	27936
595	11850	27916
596	11869	27895
597	11889	27873
598	11907	27851
599	11923	27822
600	11941	27796
601	11960	27775
602	11981	27758
603	12000	27736
604	12018	27711
605	12035	27684
606	12051	27657
607	12067	27627
608	12086	27607
609	12104	27581
610	12124	27562
611	12140	27533
612	12159	27512
613	12177	27489
614	12197	27468
615	12216	27448
616	12233	27421
617	12252	27400
618	12270	27375
619	12288	27351
620	12305	27325
621	12321	27298
622	12338	27271
623	12356	27248
624	12374	27224
625	12393	27202
626	12410	27177
627	12427	27150
628	12447	27130
629	12468	27114
630	12486	27091
631	12505	27068
632	12523	27045
633	12541	27020
634	12559	26997
635	12578	26976
636	12594	26948
637	12612	26925
638	12630	26901
639	12649	26880
640	12667	26857
641	12692	26848
642	12710	26825
643	12728	26801
644	12749	26783
645	12769	26763
646	12787	26741
647	12803	26714
648	12819	26686
649	12837	26661
650	12857	26643
651	12876	26621
652	12892	26594
653	12911	26573
654	12929	26549
655	12950	26532
656	12967	26507
657	12986	26485
658	13004	26462
659	13021	26437
660	13043	26423
661	13064	26404
662	13084	26386
663	13105	26367
664	13122	26343
665	13139	26318
666	13156	26293
667	13174	26270
668	13191	26245
669	13208	26219
670	13225	26195
671	13246	26177
672	13265	26156
673	13283	26133
674	13300	26108
675	13318	26084
676	13335	26059
677	13356	26043
678	13374	26020
679	13391	25994
680	13409	25971
681	13427	25949
682	13445	25926
683	13463	25903
684	13482	25881
685	13501	25860
686	13518	25835
687	13537	25815
688	13559	25800
689	13576	25774
690	13598	25760
691	13620	25744
692	13637	25720
693	13655	25698
694	13676	25679
695	13694	25657
696	13713	25636
697	13728	25608
698	13748	25589
699	13767	25568
700	13787	25549
701	13805	25526
702	13822	25502
703	13840	25478
704	13858	25457
705	13878	25437
706	13895	25412
707	13913	25390
708	13931	25367
709	13949	25344
710	13966	25320
711	13983	25295
712	14002	25274
713	14022	25256
714	14040	25233
715	14058	25211
716	14078	25191
717	14099	25174
718	14117	25152
719	14137	25132
720	14156	25112
721	14173	25087
722	14192	25068
723	14211	25047
724	14230	25025
725	14250	25006
726	14270	24987
727	14289	24967
728	14305	24940
